,Company,Title,joblinks
0,Experfy,Google Cloud Platform Engineer,https://www.linkedin.com/jobs/view/google-cloud-platform-engineer-at-experfy-3420602984?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=jWR3mniLn7nR9TIlTs1nLA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,Everyrealm Inc.,Cloud Platform Engineer,https://www.linkedin.com/jobs/view/cloud-platform-engineer-at-everyrealm-inc-3509901945?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=wsL%2FyigkJi9YUEwqGdhXzQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Stanford Black Limited,Data Engineer – Video Streaming,https://www.linkedin.com/jobs/view/data-engineer-%E2%80%93-video-streaming-at-stanford-black-limited-3564324063?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=LkOZhKHa4b7LQU9sZd6zIA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Hentsu acquired by Portfolio BI,Microsoft Cloud Developer- New York,https://www.linkedin.com/jobs/view/microsoft-cloud-developer-new-york-at-hentsu-acquired-by-portfolio-bi-3517211810?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=581cadljc3lZG4Wov%2FTurQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,C2R Ventures,"Senior Cloud Engineer, Kubernetes",https://www.linkedin.com/jobs/view/senior-cloud-engineer-kubernetes-at-c2r-ventures-3508954252?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=E7Dl5N6UJuFPHFIjtw5wBg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,firstblox,"Snr. AWS Platform Engineer Contract -NodeJS, Serverless - South America, US",https://www.linkedin.com/jobs/view/snr-aws-platform-engineer-contract-nodejs-serverless-south-america-us-at-firstblox-3574094384?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=GG9NlwkrZvEknn3mmzq%2Btw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Echo IT Solutions,TIBCO Spotfire Developer,https://www.linkedin.com/jobs/view/tibco-spotfire-developer-at-echo-it-solutions-3483382124?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=Nof24gtDsCFXUJels3RvTw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Braintrust,DevOps Engineer (Linux / Ansible / AWS) [Remote],https://www.linkedin.com/jobs/view/devops-engineer-linux-ansible-aws-remote-at-braintrust-3574302106?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=wUvwGNWUTbJQ6az4GAsjug%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,BLACKBIRD.AI,Data Engineer,https://www.linkedin.com/jobs/view/data-engineer-at-blackbird-ai-3506555861?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=Ms3RRb0YrIfFp8RsC4E%2FYA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Tek Hire Solutions,Azure DevOps Engineer | New York (Hybrid),https://www.linkedin.com/jobs/view/azure-devops-engineer-new-york-hybrid-at-tek-hire-solutions-3569886359?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=RVRztnw%2FWptO%2BCiO24rERw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
